Gold-Buy,Gold-Sell,Date
1695.2,1680.8,10-11-11 14:22:48
1722.2,1653.8,10-11-11 14:28:56
1723.3,1654.1,10-11-11 14:32:00
1722.4,1653.3,10-11-11 14:35:04
1724.3,1655.1,10-11-11 14:38:07
1697.0,1681.8,10-11-11 14:41:11
1698.4,1682.9,10-11-11 14:44:15
1698.2,1682.8,10-11-11 14:47:19
1697.2,1681.8,10-11-11 14:50:23
1696.2,1680.8,10-11-11 14:53:26
1696.0,1680.9,10-11-11 14:56:30
1695.6,1680.3,10-11-11 14:59:34
1695.4,1680.1,10-11-11 15:02:38
1694.7,1679.6,10-11-11 15:05:42
1719.8,1651.1,10-11-11 15:13:52
1723.0,1654.1,10-11-11 15:15:54
1722.6,1653.5,10-11-11 15:20:00
1695.1,1680.0,10-11-11 15:23:04
1694.2,1679.9,10-11-11 15:29:12
1694.5,1679.2,10-11-11 15:32:15
1694.8,1679.4,10-11-11 15:35:19
1692.4,1677.5,10-11-11 15:40:25
1720.9,1651.8,10-11-11 15:43:29
1693.8,1679.1,10-11-11 15:46:32
1694.0,1679.0,10-11-11 15:49:36
1691.8,1677.7,10-11-11 15:52:40
1694.3,1679.4,10-11-11 15:55:44
1693.5,1678.2,10-11-11 15:58:48
1693.6,1678.4,10-11-11 16:04:55
1695.2,1680.0,10-11-11 16:07:59
1694.7,1679.3,10-11-11 16:14:06
1693.8,1678.5,10-11-11 16:17:10
1693.4,1678.1,10-11-11 16:20:14
1692.4,1677.3,10-11-11 16:23:21
1691.1,1676.2,10-11-11 16:29:29
1692.2,1677.9,10-11-11 16:32:33
1690.2,1675.5,10-11-11 16:39:42
1691.3,1676.3,10-11-11 16:42:46
1692.9,1678.5,10-11-11 16:44:48
1694.7,1679.6,10-11-11 16:47:53
1696.3,1680.8,10-11-11 16:51:58
1723.3,1653.8,10-11-11 16:58:06
1695.1,1681.1,10-11-11 17:01:10
1697.0,1682.2,10-11-11 17:04:13
1695.6,1680.7,10-11-11 17:07:17
1699.0,1684.7,10-11-11 17:10:21
1700.4,1685.6,10-11-11 17:14:27
1702.3,1688.0,10-11-11 17:17:31
1701.4,1686.3,10-11-11 17:23:39
1701.2,1685.9,10-11-11 17:26:43
1700.3,1685.6,10-11-11 17:29:47
1700.4,1686.1,10-11-11 17:33:52
1700.9,1686.1,10-11-11 17:38:59
1704.1,1689.6,10-11-11 17:43:04
1700.9,1685.5,10-11-11 17:50:12
1699.6,1684.6,10-11-11 17:53:16
1729.0,1659.5,10-11-11 17:59:24
1729.4,1660.6,10-11-11 18:02:28
1727.0,1658.4,10-11-11 18:05:31
1726.7,1658.1,10-11-11 18:08:35
1728.4,1658.8,10-11-11 18:14:43
1729.0,1659.2,10-11-11 18:17:47
1732.6,1663.0,10-11-11 18:20:51
1731.1,1661.4,10-11-11 18:28:00
1730.9,1661.2,10-11-11 18:30:02
1729.7,1660.1,10-11-11 18:33:06
1729.2,1659.7,10-11-11 18:37:11
1727.8,1658.2,10-11-11 18:42:17
1729.0,1659.6,10-11-11 18:49:26
1727.3,1658.0,10-11-11 18:52:30
1726.7,1657.2,10-11-11 18:55:34
1726.1,1656.6,10-11-11 18:58:38
1724.1,1654.4,10-11-11 19:04:46
1723.9,1655.1,10-11-11 19:07:50
1724.7,1654.7,10-11-11 19:10:54
1723.7,1653.9,10-11-11 19:17:01
1722.7,1653.1,10-11-11 19:20:05
1722.0,1652.8,10-11-11 19:26:14
1721.9,1652.2,10-11-11 19:29:17
1720.7,1652.1,10-11-11 19:32:21
1724.3,1654.8,10-11-11 19:35:25
1722.2,1652.5,10-11-11 19:41:34
1722.2,1653.4,10-11-11 19:44:38
1724.1,1654.8,10-11-11 19:50:45
1724.1,1654.2,10-11-11 19:53:49
1723.9,1654.4,10-11-11 19:59:56
1722.9,1653.8,10-11-11 20:03:00
1721.4,1652.2,10-11-11 20:09:08
1720.8,1651.5,10-11-11 20:12:12
1720.9,1651.9,10-11-11 20:16:16
1721.9,1651.9,10-11-11 20:21:30
1720.9,1652.1,10-11-11 20:24:33
1720.2,1651.4,10-11-11 20:27:37
1721.0,1651.0,10-11-11 20:33:45
1720.1,1650.9,10-11-11 20:37:50
1719.7,1650.7,10-11-11 20:40:54
1718.6,1649.2,10-11-11 20:46:01
1719.0,1647.7,10-11-11 20:50:06
1718.4,1648.0,10-11-11 20:55:13
1716.6,1647.3,10-11-11 20:59:18
1720.1,1649.5,10-11-11 21:05:25
1720.7,1650.0,10-11-11 21:11:33
1720.9,1651.3,10-11-11 21:14:37
1721.7,1651.9,10-11-11 21:17:41
1722.3,1651.1,10-11-11 21:20:45
1719.6,1649.1,10-11-11 21:26:53
1717.5,1647.0,10-11-11 21:33:00
1717.8,1646.5,10-11-11 21:36:04
1718.2,1648.0,10-11-11 21:39:08
1720.1,1647.7,10-11-11 21:45:16
1719.3,1647.6,10-11-11 21:48:20
1717.2,1647.2,10-11-11 21:54:27
1715.8,1646.5,10-11-11 21:57:31
1718.7,1646.0,10-11-11 22:03:39
1720.5,1647.1,10-11-11 22:06:43
1718.3,1648.4,10-11-11 22:12:51
1718.1,1648.7,10-11-11 22:15:56
1722.1,1649.0,10-11-11 22:22:03
1717.9,1647.3,10-11-11 22:25:07
1717.4,1647.1,10-11-11 22:28:11
1717.1,1646.1,10-11-11 22:34:22
1715.9,1645.8,10-11-11 22:40:34
1719.4,1646.5,10-11-11 22:43:37
1720.0,1648.6,10-11-11 22:47:43
1719.1,1648.8,10-11-11 22:49:45
1718.8,1649.0,10-11-11 22:55:53
1719.9,1649.1,10-11-11 23:02:01
1722.1,1649.5,10-11-11 23:09:11
1725.5,1652.0,10-11-11 23:12:15
1724.2,1652.8,10-11-11 23:17:21
1725.3,1652.0,10-11-11 23:24:31
1726.1,1652.6,10-11-11 23:27:36
1725.5,1653.1,10-11-11 23:30:41
1725.5,1651.6,10-11-11 23:36:48
1726.6,1653.6,10-11-11 23:39:52
1726.9,1653.1,10-11-11 23:42:56
1725.2,1653.6,10-11-11 23:45:59
1726.4,1654.7,10-11-11 23:52:06
1724.7,1652.2,10-11-11 23:55:10
1727.9,1654.8,10-11-11 23:58:14
1727.7,1654.2,10-12-11 00:04:21
1726.3,1652.5,10-12-11 00:07:25
1726.1,1652.3,10-12-11 00:10:28
1726.1,1652.5,10-12-11 00:13:32
1726.4,1652.9,10-12-11 00:16:36
1726.4,1653.3,10-12-11 00:19:39
1723.3,1653.6,10-12-11 00:22:43
1724.9,1653.9,10-12-11 00:25:47
1726.3,1654.5,10-12-11 00:28:50
1725.6,1654.6,10-12-11 00:31:54
1725.9,1655.3,10-12-11 00:34:58
1724.1,1653.8,10-12-11 00:38:01
1724.1,1653.5,10-12-11 00:41:05
1725.3,1654.2,10-12-11 00:44:09
1724.4,1653.1,10-12-11 00:47:12
1724.0,1652.1,10-12-11 00:50:16
1721.5,1651.2,10-12-11 00:53:20
1722.0,1651.4,10-12-11 00:56:23
1722.6,1651.4,10-12-11 00:59:27
1720.0,1650.3,10-12-11 01:02:31
1721.1,1650.4,10-12-11 01:06:36
1722.4,1651.3,10-12-11 01:11:43
1722.9,1651.0,10-12-11 01:15:48
1724.4,1651.7,10-12-11 01:18:51
1720.0,1648.6,10-12-11 01:49:29
1730.5,1644.7,10-12-11 01:58:43
1722.3,1650.8,10-12-11 02:01:48
1724.7,1651.8,10-12-11 02:04:51
1724.3,1651.5,10-12-11 02:07:55
1724.0,1651.5,10-12-11 02:10:59
1724.9,1651.8,10-12-11 02:14:02
1724.9,1652.2,10-12-11 02:17:06
1725.5,1652.8,10-12-11 02:20:09
1725.2,1652.4,10-12-11 02:23:13
1725.0,1652.3,10-12-11 02:26:17
1724.0,1651.4,10-12-11 02:32:24
1723.4,1650.7,10-12-11 02:35:28
1723.8,1650.9,10-12-11 02:38:32
1723.3,1650.8,10-12-11 02:41:36
1720.9,1650.1,10-12-11 02:44:39
